OTU	Taxonomy	Name	Chia_name	Chia_id	Match	Mean	Max	BK301	BK303	BK304	BK305	BK306	BK307	BK308	BK309	BK310	BK311	BK312	BK313	BK314	BK315	BK316	BK317	BK319	BR301	BR302	BR303	BR304	BR305	BR306	BR307	BR308	BR309	BR310	BR311	BR313	BR314	BR315	BR316	BR317	BR318	BR319	BR320	BR321	BR322	BR323	BR324	BR325	BR326	BR327	BR328	BR329
Out406	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae_Sedis_XIII; g__Anaerovorax; s__Anaerovorax_odorimutans	Anaerovorax odorimutans	NA	0	F	0.066666667	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Out518	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae_Sedis_XIII; g__Anaerovorax; s__Anaerovorax_odorimutans	Anaerovorax odorimutans	NA	0	F	0.088888889	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Out623	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Asaccharobacter; s__Asaccharobacter_celatus	Asaccharobacter celatus	NA	0	F	0.133333333	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out58	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_caccae	Bacteroides caccae	Bacteroides caccae	119	T	12.51111111	276	2	10	10	3	0	1	0	8	1	16	276	8	17	1	2	0	3	3	1	7	6	35	3	3	7	1	7	0	0	28	4	20	1	4	4	7	0	11	2	14	7	24	4	2	0
Out237	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_clarus	Bacteroides clarus	Bacteroides plebeius	131	F	2.577777778	18	0	0	2	16	0	1	0	0	0	0	18	0	0	1	1	0	3	0	0	1	17	0	2	0	3	0	0	0	0	14	0	0	6	4	0	0	0	4	0	0	0	0	17	6	0
Out577	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_coprocola	Bacteroides coprocola	Bacteroides coprocola	121	T	3.822222222	103	103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	12	0	0	0	0	0	0	0	0	4	0
Out82	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_coprophilus	Bacteroides coprophilus	Bacteroides coprophilus	122	T	6.711111111	193	0	0	0	0	0	0	0	0	2	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
Out3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_dorei	Bacteroides dorei	Bacteroides dorei	123	T	136.9555556	1099	32	135	76	0	51	146	423	74	55	7	0	560	831	19	43	2	32	8	12	0	1	0	26	21	66	17	10	1	0	1099	3	38	280	105	4	15	3	228	21	1059	40	404	216	0	0
Out52	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_eggerthii	Bacteroides eggerthii	Bacteroides eggerthii	124	T	14.64444444	119	0	0	0	78	50	37	0	4	2	0	0	0	0	0	0	0	0	4	0	1	95	0	0	2	0	0	54	1	10	119	0	0	100	25	2	0	0	0	2	0	41	0	13	19	0
Out200	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_faecis	Bacteroides faecis	Bacteroides fragilis	126	F	0.8	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0
Out25	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_fragilis	Bacteroides fragilis	Bacteroides fragilis	126	T	16.88888889	243	0	0	9	1	1	1	0	0	21	1	25	48	7	12	83	7	1	6	0	6	16	36	46	2	8	29	0	0	14	73	0	0	4	243	0	4	0	26	8	0	6	1	11	0	4
Out400	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_fragilis	Bacteroides fragilis	Bacteroides fragilis	126	T	2.444444444	26	0	0	2	0	4	2	0	0	2	1	0	26	2	2	12	5	0	3	0	2	16	4	4	2	6	0	1	1	0	7	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1
Out5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_massiliensis	Bacteroides massiliensis	Bacteroides dorei	123	F	87.66666667	612	0	85	29	0	286	34	0	530	0	0	0	0	1	1	612	0	23	73	2	33	0	1	0	3	0	0	0	2	0	15	356	7	0	310	13	0	0	0	35	178	99	404	385	426	2
Out227	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_nordii	Bacteroides nordii	Bacteroides plebeius	131	F	0.733333333	6	2	0	6	4	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	4	1	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0
Out83	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_ovatus	Bacteroides ovatus	Bacteroides ovatus	129	T	10	166	14	0	0	0	23	28	6	5	0	0	0	166	0	36	5	0	1	2	1	1	10	0	11	3	8	7	13	0	53	0	0	0	7	5	0	1	0	40	0	0	1	0	3	0	0
Out34	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_plebeius	Bacteroides plebeius	Bacteroides plebeius	131	T	19.93333333	509	0	0	52	0	0	136	0	0	509	0	0	0	105	6	0	0	35	0	0	0	0	1	22	0	0	0	0	0	0	0	26	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Out4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_plebeius	Bacteroides plebeius	Bacteroides plebeius	131	T	113.2888889	1533	126	0	317	0	0	913	1533	0	117	0	528	2	698	21	0	20	298	103	0	0	0	0	78	0	0	1	0	14	0	0	220	1	0	15	82	10	0	0	0	0	0	0	0	1	0
Out154	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_salyersiae	Bacteroides salyersiae	Bacteroides fragilis	126	F	0.666666667	10	0	1	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	4	0	0
Out13	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_stercoris	Bacteroides stercoris	Bacteroides stercoris	133	T	65.51111111	1504	47	3	9	0	1504	35	131	70	1	5	0	0	31	0	0	0	15	29	4	0	0	8	0	0	2	53	116	0	0	7	79	12	0	0	11	2	0	0	0	14	46	187	316	0	211
Out53	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_thetaiotaomicron	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	134	T	19.77777778	327	3	2	11	4	7	5	14	1	2	15	56	327	19	1	6	0	5	0	1	2	26	1	2	3	1	2	12	1	230	22	6	1	12	5	1	0	0	25	2	37	2	7	4	3	4
Out7	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_uniformis	Bacteroides uniformis	Bacteroides uniformis	135	T	95.13333333	712	24	16	15	213	122	175	79	25	10	19	607	712	351	9	13	3	12	8	1	13	141	27	60	47	25	29	65	0	154	147	246	5	126	186	28	7	0	85	34	42	29	185	43	102	41
Out56	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_xylanisolvens	Bacteroides xylanisolvens	Bacteroides xylanisolvens	137	T	10.08888889	70	3	0	18	45	15	9	0	4	2	12	53	70	4	0	6	0	5	2	0	3	38	3	6	0	2	0	42	0	2	23	0	0	1	4	1	3	0	30	0	7	2	23	2	6	8
Out107	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Barnesiella; s__Barnesiella_intestinihominis	Barnesiella intestinihominis	NA	0	F	7.266666667	160	0	6	1	1	0	9	0	12	0	1	0	160	12	1	49	0	1	0	0	0	11	2	1	0	0	14	7	0	0	1	4	4	0	24	0	0	0	0	0	1	0	0	0	5	0
Out370	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Barnesiella; s__Barnesiella_intestinihominis	Barnesiella intestinihominis	NA	0	F	5.2	46	0	5	1	1	46	2	0	13	0	21	0	17	1	11	32	0	0	0	0	5	2	0	4	0	0	0	0	0	0	0	7	1	0	19	1	0	1	0	0	35	1	0	6	2	0
Out18	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_adolescentis	Bifidobacterium adolescentis	Bifidobacterium adolescentis	149	T	36.06666667	725	12	0	36	32	9	0	9	0	367	10	0	0	1	12	203	0	4	0	0	0	0	0	64	0	0	0	0	77	0	0	1	1	1	0	0	32	5	0	0	0	0	0	21	1	725
Out381	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_animalis_subsp._lactis	Bifidobacterium animalis subsp. lactis	Bifidobacterium animalis	151	T	0.022222222	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out32	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_bifidum	Bifidobacterium bifidum	Bifidobacterium bifidum	152	T	12.04444444	127	0	0	21	0	15	0	115	0	0	0	0	0	74	72	0	0	3	0	0	0	0	0	127	0	0	0	39	0	0	1	0	0	0	0	13	0	0	0	0	0	0	57	5	0	0
Out35	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_breve	Bifidobacterium breve	Bifidobacterium breve	153	T	0.755555556	26	0	0	0	0	0	0	2	0	0	0	0	26	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out14	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_longum_subsp._infantis	Bifidobacterium longum subsp. infantis	"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)"	157	T	35.08888889	235	2	0	5	15	9	163	39	74	78	9	116	129	8	39	136	11	0	2	2	6	22	132	20	14	6	18	235	4	5	1	2	11	7	15	4	1	0	0	1	37	8	88	12	25	68
Out20	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_pseudocatenulatum	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	158	T	13.68888889	126	2	0	95	0	0	23	1	0	3	8	0	0	15	0	0	45	23	1	0	6	11	0	0	37	2	4	0	29	0	2	11	10	0	1	18	2	0	76	0	1	2	61	1	126	0
Out240	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__Bilophila_wadsworthia	Bilophila wadsworthia	Bilophila wadsworthia	159	T	2.733333333	13	0	2	1	6	8	0	8	9	0	0	6	13	4	0	3	0	0	3	0	2	0	5	12	2	2	0	4	0	5	4	1	1	0	6	1	0	0	0	2	0	1	2	8	0	2
Out694	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__Bilophila_wadsworthia	Bilophila wadsworthia	Bilophila wadsworthia	159	T	0.133333333	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	2	0
Out139	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia_glucerasea	Blautia glucerasea	Blautia hansenii (Ruminococcus hansenii)	161	F	2.288888889	47	0	0	0	0	0	1	5	0	0	0	37	8	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Out286	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia_glucerasea	Blautia glucerasea	Blautia hansenii (Ruminococcus hansenii)	161	F	1	20	0	0	0	0	0	0	1	13	1	0	20	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out159	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia_hansenii	Blautia hansenii	Blautia hansenii (Ruminococcus hansenii)	161	T	5.088888889	72	0	0	0	0	5	0	0	0	4	1	72	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	0	31	36	6	0	0	0	0	0	0	0	0	26	3	0	10	0	7
Out51	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia_wexlerae	Blautia wexlerae	Blautia hansenii (Ruminococcus hansenii)	161	F	30.33333333	142	16	12	46	58	7	12	72	142	94	14	49	44	20	26	57	20	13	72	4	9	13	62	8	5	50	21	22	12	0	2	20	54	11	24	10	4	3	8	11	77	29	105	14	6	7
Out161	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas; s__Butyricimonas_faecihominis	Butyricimonas faecihominis	NA	0	F	1.755555556	16	2	0	1	0	0	0	0	16	0	9	5	11	1	0	1	0	0	4	0	1	0	1	4	4	0	1	0	0	0	0	4	1	1	4	2	0	0	0	2	0	0	0	2	0	2
Out257	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas; s__Butyricimonas_virosa	Butyricimonas virosa	NA	0	F	0.888888889	5	0	1	0	0	0	0	0	1	0	3	5	4	4	0	1	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	0	2	1	3	1	2	0	0	0	2	2	0	1	0	0
Out692	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas; s__Butyricimonas_virosa	Butyricimonas virosa	NA	0	F	0.044444444	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Out491	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__Catenibacterium_mitsuokai	Catenibacterium mitsuokai	Catenibacterium mitsuokai	260	T	1.333333333	40	0	0	0	0	0	0	0	40	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Out96	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__Catenibacterium_mitsuokai	Catenibacterium mitsuokai	Catenibacterium mitsuokai	260	T	9.822222222	257	0	0	0	0	0	0	0	74	0	26	0	0	0	0	257	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
Out209	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__Cetobacterium_somerae	Cetobacterium somerae	NA	0	F	1.555555556	70	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out63	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridium_XI; s__Clostridium_bifermentans	Clostridium bifermentans	NA	0	F	7.577777778	250	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	250	0	0	0	0	3	38	0	0	0	0	0	30	0	0	0	0	0	0	15
Out305	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridium_XI; s__Clostridium_difficile	Clostridium difficile	Clostridium difficile	309	T	0.088888889	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out291	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto; s__Clostridium_disporicum	Clostridium disporicum	NA	0	F	0.866666667	12	0	0	0	0	0	1	1	0	12	0	0	0	0	0	0	1	0	1	4	0	3	1	1	1	0	0	1	0	0	2	0	7	0	0	0	0	0	0	0	1	2	0	0	0	0
Out360	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVa; s__Clostridium_glycyrrhizinilyticum	Clostridium glycyrrhizinilyticum	NA	0	F	0.422222222	7	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2
Out160	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVb; s__Clostridium_lactatifermentans	Clostridium lactatifermentans	NA	0	F	1.066666667	9	1	0	2	0	0	1	0	0	0	2	0	0	9	0	0	0	0	2	3	0	2	0	0	0	5	3	0	0	0	0	4	2	8	0	0	2	0	0	0	0	2	0	0	0	0
Out298	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVb; s__Clostridium_lactatifermentans	Clostridium lactatifermentans	NA	0	F	1.044444444	34	0	1	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Out422	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVb; s__Clostridium_lactatifermentans	Clostridium lactatifermentans	NA	0	F	0.2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0
Out157	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium_IV; s__Clostridium_leptum	Clostridium leptum	Clostridium leptum	314	T	2.422222222	27	2	0	0	0	0	0	0	8	0	8	1	0	27	0	4	0	0	6	0	7	0	17	0	0	1	15	0	0	0	0	0	0	0	3	2	0	2	0	0	0	0	4	2	0	0
Out80	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_XVIII; s__Clostridium_ramosum	Clostridium ramosum	NA	0	F	3.777777778	49	0	1	1	1	0	0	8	1	0	0	19	29	0	2	2	0	0	7	0	0	0	2	4	0	0	0	49	0	1	13	0	0	0	0	0	0	0	13	0	15	0	2	0	0	0
