microbe	metabolite	edge_type	microbe_Chia_name	microbe_ID	metabolite_Chia_name	metabolite_ID
Bacteroides plebeius M12, DSM 17135	L-methionine	5	Bacteroides plebeius	131	L-Methionine (D-Methionine)	2145
Bacteroides plebeius M12, DSM 17135	Nicotinate	5	Bacteroides plebeius	131	Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	2179
Bacteroides plebeius M12, DSM 17135	Ammonium	5	Bacteroides plebeius	131	NH3 (Ammonia, NH4+, Ammonium)	2178
Bacteroides plebeius M12, DSM 17135	Nitrite	5	Bacteroides plebeius	131	Nitrite	2182
Bacteroides plebeius M12, DSM 17135	octadecanoate (n-C18:0)	5	Bacteroides plebeius	131	Stearic acid (Stearate, Octadecanoate)	2216
Bacteroides plebeius M12, DSM 17135	Ornithine	5	Bacteroides plebeius	131	L-Ornithine (Ornithine)	2146
Bacteroides plebeius M12, DSM 17135	propionate	5	Bacteroides plebeius	131	Propanoate (Propionate)	2201
Bacteroides plebeius M12, DSM 17135	Putrescine	5	Bacteroides plebeius	131	Putrescine	2203
Bacteroides plebeius M12, DSM 17135	Pyridoxal	5	Bacteroides plebeius	131	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	2204
Bacteroides plebeius M12, DSM 17135	Raffinose	5	Bacteroides plebeius	131	Raffinose	2206
Bacteroides plebeius M12, DSM 17135	L-Rhamnose	5	Bacteroides plebeius	131	L-Rhamnose (Rhamnose, D-Rhamnose)	2149
Bacteroides plebeius M12, DSM 17135	Serine	5	Bacteroides plebeius	131	L-Serine (Serine, D-Serine)	2151
Bacteroides plebeius M12, DSM 17135	sulfate	5	Bacteroides plebeius	131	Sulfate (Sulfuric acid)	2219
Bacteroides plebeius M12, DSM 17135	Spermidine	5	Bacteroides plebeius	131	Spermidine	2212
Bacteroides plebeius M12, DSM 17135	Stachyose	2	Bacteroides plebeius	131	Stachyose	2214
Bacteroides plebeius M12, DSM 17135	Succinate	5	Bacteroides plebeius	131	Succinate	2217
Bacteroides plebeius M12, DSM 17135	Sucrose	5	Bacteroides plebeius	131	Sucrose	2218
Bacteroides plebeius M12, DSM 17135	L-threonine	5	Bacteroides plebeius	131	L-Threonine (Threonine)	2153
Bacteroides plebeius M12, DSM 17135	Thymidine	5	Bacteroides plebeius	131	Thymidine	2228
Bacteroides plebeius M12, DSM 17135	tetradecanoate (n-C14:0)	5	Bacteroides plebeius	131	Myristic acid (Tetradecanoic acid, Tetradecanoate)	2171
Bacteroides plebeius M12, DSM 17135	Urea	5	Bacteroides plebeius	131	Urea	2238
Bacteroides plebeius M12, DSM 17135	Uridine	5	Bacteroides plebeius	131	Uridine	2239
Bacteroides plebeius M12, DSM 17135	L-valine	5	Bacteroides plebeius	131	L-Valine (Valine, D-Valine)	2156
Bacteroides plebeius M12, DSM 17135	Xanthine	5	Bacteroides plebeius	131	Xanthine	2241
Faecalibacterium prausnitzii SL3/3	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	5	Faecalibacterium prausnitzii	464	1,2-diacylglycerol (1-acylglycerol, Monoacylglycerol, Monoglyceride, Monoacylglycerol)	2002
Faecalibacterium prausnitzii SL3/3	acetaldehyde	5	Faecalibacterium prausnitzii	464	Acetaldehyde	2013
Faecalibacterium prausnitzii SL3/3	N-acetyl-D-glucosamine	5	Faecalibacterium prausnitzii	464	N-Acetyl-D-Glucosamine (N-Acetylglucosamine)	2172
Faecalibacterium prausnitzii SL3/3	acetate	5	Faecalibacterium prausnitzii	464	Acetate	2014
Faecalibacterium prausnitzii SL3/3	Adenosylcobalamin	5	Faecalibacterium prausnitzii	464	Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	2019
Faecalibacterium prausnitzii SL3/3	L-alanine	5	Faecalibacterium prausnitzii	464	L-Alanine (D-Alanine, Alanine)	2125
Faecalibacterium prausnitzii SL3/3	Starch	5	Faecalibacterium prausnitzii	464	Starch	2215
Faecalibacterium prausnitzii SL3/3	D-glucose	5	Faecalibacterium prausnitzii	464	D-Glucose (Glucose)	2068
Faecalibacterium prausnitzii SL3/3	Starch	5	Faecalibacterium prausnitzii	464	Starch	2215
Faecalibacterium prausnitzii SL3/3	L-arabinose	5	Faecalibacterium prausnitzii	464	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	2060
Faecalibacterium prausnitzii SL3/3	L-asparagine	5	Faecalibacterium prausnitzii	464	L-Asparagine (Asparagine)	2128
Faecalibacterium prausnitzii SL3/3	L-aspartate(1-)	5	Faecalibacterium prausnitzii	464	L-Aspartate (Aspartate, D-Aspartate)	2129
Faecalibacterium prausnitzii SL3/3	Biotin	5	Faecalibacterium prausnitzii	464	Biotin (Vitamin B7)	2035
Faecalibacterium prausnitzii SL3/3	butyrate	5	Faecalibacterium prausnitzii	464	Butyrate	2038
Faecalibacterium prausnitzii SL3/3	cellobiose	5	Faecalibacterium prausnitzii	464	Cellobiose	2043
Faecalibacterium prausnitzii SL3/3	Riboflavin	5	Faecalibacterium prausnitzii	464	Riboflavin (Vitamin B2)	2210
Faecalibacterium prausnitzii SL3/3	L-cysteine	5	Faecalibacterium prausnitzii	464	L-Cysteine (Cysteine, D-Cysteine)	2131
Faecalibacterium prausnitzii SL3/3	ethanol	5	Faecalibacterium prausnitzii	464	Ethanol	2089
Faecalibacterium prausnitzii SL3/3	Folate	5	Faecalibacterium prausnitzii	464	Folic acid (Folate, Vitamin B9)	2091
Faecalibacterium prausnitzii SL3/3	Formate	5	Faecalibacterium prausnitzii	464	Formate	2093
Faecalibacterium prausnitzii SL3/3	D-Fructose	5	Faecalibacterium prausnitzii	464	D-Fructose (Fructose)	2061
Faecalibacterium prausnitzii SL3/3	D-Galactose	5	Faecalibacterium prausnitzii	464	D-Galactose	2064
Faecalibacterium prausnitzii SL3/3	galactitol	2	Faecalibacterium prausnitzii	464	Galactitol (Dulcitol)	2097
Faecalibacterium prausnitzii SL3/3	D-Galacturonate	5	Faecalibacterium prausnitzii	464	D-Galacturonate	2065
Faecalibacterium prausnitzii SL3/3	D-Glucosamine	5	Faecalibacterium prausnitzii	464	D-Glucosamine (Glucosamine)	2067
Faecalibacterium prausnitzii SL3/3	D-glucuronate	5	Faecalibacterium prausnitzii	464	D-Glucuronic acid (D-Glucuronate)	2069
Faecalibacterium prausnitzii SL3/3	L-glutamine	5	Faecalibacterium prausnitzii	464	L-Glutamine (D-Glutamine, Glutamine)	2134
Faecalibacterium prausnitzii SL3/3	L-glutamate(1-)	5	Faecalibacterium prausnitzii	464	L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)	2133
Faecalibacterium prausnitzii SL3/3	Glycine	5	Faecalibacterium prausnitzii	464	L-Glycine (Glycine)	2135
Faecalibacterium prausnitzii SL3/3	Glycerol	5	Faecalibacterium prausnitzii	464	Glycerol	2098
Faecalibacterium prausnitzii SL3/3	Guanine	5	Faecalibacterium prausnitzii	464	Guanine	2105
Faecalibacterium prausnitzii SL3/3	L-histidine	5	Faecalibacterium prausnitzii	464	L-Histidine (Histidine)	2136
Faecalibacterium prausnitzii SL3/3	L-isoleucine	5	Faecalibacterium prausnitzii	464	L-Isoleucine (Isoleucine)	2140
Faecalibacterium prausnitzii SL3/3	L-leucine	5	Faecalibacterium prausnitzii	464	L-Leucine (Leucine)	2142
Faecalibacterium prausnitzii SL3/3	L-lysinium(1+)	5	Faecalibacterium prausnitzii	464	L-Lysine (Lysine, D-Lysine)	2143
Faecalibacterium prausnitzii SL3/3	Maltose	5	Faecalibacterium prausnitzii	464	Maltose	2161
Faecalibacterium prausnitzii SL3/3	D-Mannose	5	Faecalibacterium prausnitzii	464	D-Mannose (Mannose)	2072
Faecalibacterium prausnitzii SL3/3	Melibiose	5	Faecalibacterium prausnitzii	464	Melibiose	2162
Faecalibacterium prausnitzii SL3/3	methanol	5	Faecalibacterium prausnitzii	464	Methanol	2166
Faecalibacterium prausnitzii SL3/3	L-methionine	2	Faecalibacterium prausnitzii	464	L-Methionine (D-Methionine)	2145
Faecalibacterium prausnitzii SL3/3	L-methionine	5	Faecalibacterium prausnitzii	464	L-Methionine (D-Methionine)	2145
Faecalibacterium prausnitzii SL3/3	D-Mannitol	5	Faecalibacterium prausnitzii	464	D-Mannitol (Mannitol)	2071
Faecalibacterium prausnitzii SL3/3	Nicotinate	5	Faecalibacterium prausnitzii	464	Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	2179
Faecalibacterium prausnitzii SL3/3	Ammonium	5	Faecalibacterium prausnitzii	464	NH3 (Ammonia, NH4+, Ammonium)	2178
Faecalibacterium prausnitzii SL3/3	pectins	5	Faecalibacterium prausnitzii	464	Pectin	2191
Faecalibacterium prausnitzii SL3/3	Phenylalanine	5	Faecalibacterium prausnitzii	464	L-Phenylalanine (Phenylalanine, D-Phenylalanine)	2147
Faecalibacterium prausnitzii SL3/3	propionate	5	Faecalibacterium prausnitzii	464	Propanoate (Propionate)	2201
Faecalibacterium prausnitzii SL3/3	L-proline	5	Faecalibacterium prausnitzii	464	L-Proline (Proline, D-Proline)	2148
Faecalibacterium prausnitzii SL3/3	Putrescine	5	Faecalibacterium prausnitzii	464	Putrescine	2203
Faecalibacterium prausnitzii SL3/3	Pyridoxal	5	Faecalibacterium prausnitzii	464	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	2204
Faecalibacterium prausnitzii SL3/3	Serine	5	Faecalibacterium prausnitzii	464	L-Serine (Serine, D-Serine)	2151
Faecalibacterium prausnitzii SL3/3	sulfate	5	Faecalibacterium prausnitzii	464	Sulfate (Sulfuric acid)	2219
Faecalibacterium prausnitzii SL3/3	Spermidine	5	Faecalibacterium prausnitzii	464	Spermidine	2212
Faecalibacterium prausnitzii SL3/3	Succinate	5	Faecalibacterium prausnitzii	464	Succinate	2217
Faecalibacterium prausnitzii SL3/3	Sucrose	5	Faecalibacterium prausnitzii	464	Sucrose	2218
Faecalibacterium prausnitzii SL3/3	Taurine	2	Faecalibacterium prausnitzii	464	Taurine	2221
Faecalibacterium prausnitzii SL3/3	Thiamin	5	Faecalibacterium prausnitzii	464	Thiamine (Vitamin B1, Thiamin)	2226
Faecalibacterium prausnitzii SL3/3	L-threonine	5	Faecalibacterium prausnitzii	464	L-Threonine (Threonine)	2153
Faecalibacterium prausnitzii SL3/3	Trehalose	5	Faecalibacterium prausnitzii	464	Trehalose	2231
Faecalibacterium prausnitzii SL3/3	L-tryptophan	5	Faecalibacterium prausnitzii	464	L-Tryptophan (Tryptophan)	2154
Faecalibacterium prausnitzii SL3/3	L-tyrosine	5	Faecalibacterium prausnitzii	464	L-Tyrosine (Tyrosine)	2155
Faecalibacterium prausnitzii SL3/3	uracil	5	Faecalibacterium prausnitzii	464	Uracil	2237
Faecalibacterium prausnitzii SL3/3	L-valine	5	Faecalibacterium prausnitzii	464	L-Valine (Valine, D-Valine)	2156
Bifidobacterium longum DJO10A	4-Aminobenzoate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	4-Aminobenzoate (para-amino, Benzoic acid)	2010
Bifidobacterium longum DJO10A	acetaldehyde	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Acetaldehyde	2013
Bifidobacterium longum DJO10A	N-acetyl-D-glucosamine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	N-Acetyl-D-Glucosamine (N-Acetylglucosamine)	2172
Bifidobacterium longum DJO10A	acetate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Acetate	2014
Bifidobacterium longum DJO10A	L-alanine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Alanine (D-Alanine, Alanine)	2125
Bifidobacterium longum DJO10A	L-arabinose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	2060
Bifidobacterium longum DJO10A	Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Arabinogalactan	2026
Bifidobacterium longum DJO10A	D-Galactose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Galactose	2064
Bifidobacterium longum DJO10A	D-glucuronate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Glucuronic acid (D-Glucuronate)	2069
Bifidobacterium longum DJO10A	D-glucose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Glucose (Glucose)	2068
Bifidobacterium longum DJO10A	L-asparagine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Asparagine (Asparagine)	2128
Bifidobacterium longum DJO10A	L-aspartate(1-)	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Aspartate (Aspartate, D-Aspartate)	2129
Bifidobacterium longum DJO10A	Biotin	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Biotin (Vitamin B7)	2035
Bifidobacterium longum DJO10A	L-cysteine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Cysteine (Cysteine, D-Cysteine)	2131
Bifidobacterium longum DJO10A	laurate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Dodecanoate (Lauric acid, Laureate)	2087
Bifidobacterium longum DJO10A	Dextrin	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	2082
Bifidobacterium longum DJO10A	ethanol	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Ethanol	2089
Bifidobacterium longum DJO10A	Folate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Folic acid (Folate, Vitamin B9)	2091
Bifidobacterium longum DJO10A	Formate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Formate	2093
Bifidobacterium longum DJO10A	D-Fructose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Fructose (Fructose)	2061
Bifidobacterium longum DJO10A	galactitol	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Galactitol (Dulcitol)	2097
Bifidobacterium longum DJO10A	D-Glucosamine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Glucosamine (Glucosamine)	2067
Bifidobacterium longum DJO10A	L-glutamine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Glutamine (D-Glutamine, Glutamine)	2134
Bifidobacterium longum DJO10A	L-glutamate(1-)	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)	2133
Bifidobacterium longum DJO10A	Glycine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Glycine (Glycine)	2135
Bifidobacterium longum DJO10A	Glycerol	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Glycerol	2098
Bifidobacterium longum DJO10A	L-histidine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Histidine (Histidine)	2136
Bifidobacterium longum DJO10A	L-isoleucine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Isoleucine (Isoleucine)	2140
Bifidobacterium longum DJO10A	Lactose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Lactose	2157
Bifidobacterium longum DJO10A	L-leucine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Leucine (Leucine)	2142
Bifidobacterium longum DJO10A	L-lysinium(1+)	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Lysine (Lysine, D-Lysine)	2143
Bifidobacterium longum DJO10A	Maltose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Maltose	2161
Bifidobacterium longum DJO10A	D-Mannose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Mannose (Mannose)	2072
Bifidobacterium longum DJO10A	L-methionine	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Methionine (D-Methionine)	2145
Bifidobacterium longum DJO10A	L-methionine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Methionine (D-Methionine)	2145
Bifidobacterium longum DJO10A	D-Mannitol	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Mannitol (Mannitol)	2071
Bifidobacterium longum DJO10A	Nicotinate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	2179
Bifidobacterium longum DJO10A	Ammonium	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	NH3 (Ammonia, NH4+, Ammonium)	2178
Bifidobacterium longum DJO10A	Nitrate	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Nitrate	2180
Bifidobacterium longum DJO10A	Ornithine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Ornithine (Ornithine)	2146
Bifidobacterium longum DJO10A	Phenylalanine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Phenylalanine (Phenylalanine, D-Phenylalanine)	2147
Bifidobacterium longum DJO10A	L-proline	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Proline (Proline, D-Proline)	2148
Bifidobacterium longum DJO10A	Pyridoxal	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	2204
Bifidobacterium longum DJO10A	Raffinose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Raffinose	2206
Bifidobacterium longum DJO10A	D-ribose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	D-Ribose (Ribose)	2074
Bifidobacterium longum DJO10A	Riboflavin	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Riboflavin (Vitamin B2)	2210
Bifidobacterium longum DJO10A	L-Rhamnose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Rhamnose (Rhamnose, D-Rhamnose)	2149
Bifidobacterium longum DJO10A	Serine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Serine (Serine, D-Serine)	2151
Bifidobacterium longum DJO10A	sulfate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Sulfate (Sulfuric acid)	2219
Bifidobacterium longum DJO10A	Stachyose	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Stachyose	2214
Bifidobacterium longum DJO10A	Succinate	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Succinate	2217
Bifidobacterium longum DJO10A	Sucrose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Sucrose	2218
Bifidobacterium longum DJO10A	Taurine	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Taurine	2221
Bifidobacterium longum DJO10A	Thiamin	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Thiamine (Vitamin B1, Thiamin)	2226
Bifidobacterium longum DJO10A	L-threonine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Threonine (Threonine)	2153
Bifidobacterium longum DJO10A	Trehalose	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Trehalose	2231
Bifidobacterium longum DJO10A	L-tryptophan	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Tryptophan (Tryptophan)	2154
Bifidobacterium longum DJO10A	thiosulfate(2-)	2	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Thiosulfate	2227
Bifidobacterium longum DJO10A	L-tyrosine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Tyrosine (Tyrosine)	2155
Bifidobacterium longum DJO10A	L-valine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	L-Valine (Valine, D-Valine)	2156
Bifidobacterium longum DJO10A	Xanthine	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Xanthine	2241
Bifidobacterium longum DJO10A	octadecanoate (n-C18:0)	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Stearic acid (Stearate, Octadecanoate)	2216
Bifidobacterium longum DJO10A	tetradecanoate (n-C14:0)	5	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	157	Myristic acid (Tetradecanoic acid, Tetradecanoate)	2171
Streptococcus mitis NCTC 12261	2-Oxobutanoate	5	Streptococcus mitis	1056	2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	2008
Streptococcus mitis NCTC 12261	acetaldehyde	5	Streptococcus mitis	1056	Acetaldehyde	2013
Streptococcus mitis NCTC 12261	N-acetyl-D-glucosamine	5	Streptococcus mitis	1056	N-Acetyl-D-Glucosamine (N-Acetylglucosamine)	2172
Streptococcus mitis NCTC 12261	acetate	5	Streptococcus mitis	1056	Acetate	2014
Streptococcus mitis NCTC 12261	Adenine	5	Streptococcus mitis	1056	Adenine	2017
Streptococcus mitis NCTC 12261	Adenosine	5	Streptococcus mitis	1056	Adenosine	2018
Streptococcus mitis NCTC 12261	Adenosylcobalamin	5	Streptococcus mitis	1056	Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	2019
Streptococcus mitis NCTC 12261	L-alanine	5	Streptococcus mitis	1056	L-Alanine (D-Alanine, Alanine)	2125
Streptococcus mitis NCTC 12261	L-arabinose	5	Streptococcus mitis	1056	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	2060
Streptococcus mitis NCTC 12261	L-argininium(1+)	5	Streptococcus mitis	1056	L-Arginine (Arginine)	2127
Streptococcus mitis NCTC 12261	L-asparagine	5	Streptococcus mitis	1056	L-Asparagine (Asparagine)	2128
Streptococcus mitis NCTC 12261	L-aspartate(1-)	5	Streptococcus mitis	1056	L-Aspartate (Aspartate, D-Aspartate)	2129
Streptococcus mitis NCTC 12261	Biotin	5	Streptococcus mitis	1056	Biotin (Vitamin B7)	2035
Streptococcus mitis NCTC 12261	cytosine	5	Streptococcus mitis	1056	Cytosine	2059
Streptococcus mitis NCTC 12261	L-cysteine	5	Streptococcus mitis	1056	L-Cysteine (Cysteine, D-Cysteine)	2131
Streptococcus mitis NCTC 12261	Cytidine	5	Streptococcus mitis	1056	Cytidine	2058
Streptococcus mitis NCTC 12261	ethanol	5	Streptococcus mitis	1056	Ethanol	2089
Streptococcus mitis NCTC 12261	Folate	5	Streptococcus mitis	1056	Folic acid (Folate, Vitamin B9)	2091
Streptococcus mitis NCTC 12261	Formate	5	Streptococcus mitis	1056	Formate	2093
Streptococcus mitis NCTC 12261	D-Fructose	5	Streptococcus mitis	1056	D-Fructose (Fructose)	2061
Streptococcus mitis NCTC 12261	D-Galactose	5	Streptococcus mitis	1056	D-Galactose	2064
Streptococcus mitis NCTC 12261	galactitol	2	Streptococcus mitis	1056	Galactitol (Dulcitol)	2097
Streptococcus mitis NCTC 12261	D-Glucosamine	5	Streptococcus mitis	1056	D-Glucosamine (Glucosamine)	2067
